1734345617498,nasa,mouih,nn@gmail.com,066666,,MEMBRE,true
1734346028497,,,,,,BIBLIOTHECAIRE,false
1734435747957,user1,bb,user1@g.com,999,,MEMBRE,true
1734940738771,hdhdh,jdjejj,hdhd@hs.com,999,,MEMBRE,true
1734940765097,,,,,,BIBLIOTHECAIRE,false
1,Alice,Dupont,alice@example.com,0123456789,,MEMBRE,true
2,,,,,,BIBLIOTHECAIRE,false
3,,,,,,BIBLIOTHECAIRE,false
1735074822782,user3,nom,nn@gmail.com,999,,MEMBRE,true
1735553848034,,,,,,MEMBRE,false
1735553864528,,,,,,MEMBRE,false
1735554165656,,,,,,BIBLIOTHECAIRE,false
1735554508091,,,,,,BIBLIOTHECAIRE,false
1735554512990,,,,,,MEMBRE,false
1735556059404,jjddk,d,dk,gjf@gmail.Com,0000000000,,MEMBRE,false
